# Classificação de EVIDÊNCIA por rota. Fonte única, aplicada ao `summary`
# pelo `cmd/openapidoc` — NÃO cole o marcador nos ficheiros de paths/.
#
#   ✅  chamada real com efeito confirmado por observador independente
#   🟡  resposta de sucesso real, sem forma de confirmar o efeito
#   ❌  chamada real que falhou; o erro medido está em docs/OPENAPI-EVIDENCIAS.md
#   ⬜  não executada, com o motivo dito em docs/OPENAPI-EVIDENCIAS.md
#
# Uma rota em paths/ sem linha aqui faz o gerador FALHAR: rota nova tem de
# ser classificada, e o silêncio não pode passar por aprovação.
#
# As formas CANÓNICAS herdam a marca da rota antiga que substituem: são a
# mesma implementação, servida noutro caminho, logo a prova é a mesma. As doze
# reestruturadas (com parâmetro no caminho) foram RE-MEDIDAS, porque nelas o
# adaptador de injecção é código novo entre o cliente e o manipulador — ver
# HOUSEKEEP.md F286 para a lista das doze e a medição de 2026-08-28.
#
# TRÊS COLUNAS NOVAS (F239/F282, campanha de 2026-08-28 em diante — ver
# SPEC-cobertura-evidencia-rotas.md): `data`, `observador`, `evidência`. As
# três ficam vazias até a rota ser (re)medida por esta campanha — vazio não é
# erro, é "ainda não chegou a vez". `docs/OPENAPI-EVIDENCIAS.md` é GERADO a
# partir desta tabela (`go run ./cmd/openapidoc`) — não o edite à mão.
#
#   data        AAAA-MM-DD da medição.
#   observador  um destes, curto e enumerável:
#                 segunda-rota  — GET irmão do POST/PUT/DELETE testado
#                 websocket     — evento observado em /session/ws
#                 sqlite        — leitura directa de tabela
#                 cliente       — confirmação visual (WhatsApp Web/app)
#                 protocolo     — o próprio erro/sucesso do WhatsApp já prova
#                                 (só quando não havia efeito a confirmar)
#                 motivo        — não é confirmação de efeito: é a razão de
#                                 ⬜ (não executada) ou a causa medida de ❌
#                 misto         — mais de um observador na mesma medição
#   evidência   frase curta e ESPECÍFICA — o que foi lido, que valor mudou.
#               Banida a frase-modelo "chamada real com resposta e efeito
#               confirmado por segunda leitura ou pelo cliente": se serve
#               para qualquer rota sem editar nada, não é específica.
#
# método	caminho	marca	data	observador	evidência
GET	/admin/users	✅	2026-08-28	segunda-rota	`200`, `data` com exatamente as duas sessões reais existentes (envia, recebe) — contagem e nomes conferem com o estado conhecido.
POST	/admin/users	✅	2026-08-26	segunda-rota	`200` com o id devolvido; `GET /admin/users` passou de `data: null` para um array com esse id.
DELETE	/admin/users/{id}	✅	2026-08-26	sqlite	sessao descartavel `descartavel-2`: `200 {"status":"deleted"}`, e a linha sumiu do SQLite — `select count(*) from users where id=...` devolveu `0`.
GET	/admin/users/{id}	✅	2026-08-28	segunda-rota	`200`, `data` com um único elemento igual ao registo de `envia` (mesmo `jid`, `engine`) — filtra corretamente por id em vez de devolver a lista inteira.
PUT	/admin/users/{id}	✅	2026-08-26	segunda-rota	`200 {"status":"ok"}`; `GET /admin/users/{id}` passou a devolver `name: descartavel-1-renomeado` e `events: Message,ReadReceipt`.
DELETE	/admin/users/{id}/full	✅	2026-08-26	sqlite	sessao descartavel `descartavel-4`: `200 {"id":...,"name":"descartavel-4","jid":""}`; `GET /admin/users` deixou de a listar e o `count(*)` no SQLite ficou `0`.
POST	/call/reject	✅	2026-08-28	websocket	DESTRAVADO: usuário fez uma chamada de voz real para `recebe`. Listener no `/session/ws` de `recebe` capturou o evento `CallOffer` (`From`/`CallID` reais) e disparou `POST /call/reject` automaticamente, dentro da janela exigida pela rota. `200 {"details":"Call rejected","call_id":"..."}` — o `call_id` devolvido bate exatamente com o do evento capturado.
GET	/health	✅	2026-08-28	protocolo	exige TOKEN DE SESSÃO (não admin, não anónimo) — medido: `401` sem token e com token de admin, `200` só com `token: <sessão>`. `data.total_users`/`active_connections` bateram com as duas sessões reais (envia, recebe) no momento da chamada.
GET	/health/live	✅	2026-08-28	protocolo	`200 {"status":"ok"}` sem token nenhum — confirma que é o probe de container, sem autenticação, ao contrário de `GET /health`.
GET	/health/ready	✅	2026-08-28	protocolo	`200` sem token, com `checks.database: "ok"` e o relatório de capacidades (`cluster_mode`, `database`, `multi_pod`) — confere com a configuração real do processo (sqlite, single).
