# metodo_antigo	caminho_antigo	metodo_canonico	caminho_canonico
# Fonte UNICA da padronizacao. Ver CAMINHOS-CANONICOS.md.
# Rota sem linha aqui ja' esta' conforme e nao precisa de alias.
DELETE	/newsletter/delete	DELETE	/newsletters/delete
GET	/chat/history	GET	/chats/history
GET	/chat/list	GET	/chats/list
GET	/group/requestparticipants	GET	/groups/{group_jid}/join-requests
GET	/newsletter/list	GET	/newsletters/list
GET	/user/blocklist	GET	/users/blocklist
GET	/user/contacts	GET	/users/contacts
GET	/user/contacts/last-activity	GET	/users/contacts/last-activity
GET	/user/lid/{jid}	GET	/users/lid/{jid}
GET	/user/privacy	GET	/users/privacy
GET	/user/profile/{jid}	GET	/users/profile/{jid}
POST	/chat/archive	POST	/chats/archive
POST	/chat/delete/message	POST	/chats/delete/message
POST	/chat/ephemeral	POST	/chats/ephemeral
POST	/chat/ephemeral/default	POST	/chats/ephemeral/default
POST	/chat/mute	POST	/chats/mute
POST	/chat/pin	POST	/chats/pin
POST	/chat/presence	POST	/chats/presence
POST	/chat/react	POST	/chats/react
POST	/chat/request-unavailable-message	POST	/chats/request-unavailable-message
POST	/chat/send/audio	POST	/chats/send/audio
POST	/chat/send/buttons	POST	/chats/send/buttons
POST	/chat/send/carousel	POST	/chats/send/carousel
POST	/chat/send/contact	POST	/chats/send/contact
POST	/chat/send/document	POST	/chats/send/document
POST	/chat/send/edit	POST	/chats/send/edit
POST	/chat/send/forward	POST	/chats/send/forward
POST	/chat/send/image	POST	/chats/send/image
POST	/chat/send/list	POST	/chats/send/list
POST	/chat/send/location	POST	/chats/send/location
POST	/chat/send/poll	POST	/chats/send/poll
POST	/chat/send/sticker	POST	/chats/send/sticker
POST	/chat/send/template	POST	/chats/send/template
POST	/chat/send/text	POST	/chats/send/text
POST	/chat/send/video	POST	/chats/send/video
POST	/community/link	PUT	/communities/{community_jid}/subgroups/{group_jid}
POST	/community/participants	GET	/communities/{community_jid}/participants
POST	/community/subgroups	GET	/communities/{community_jid}/subgroups
POST	/community/unlink	DELETE	/communities/{community_jid}/subgroups/{group_jid}
POST	/group/create	POST	/groups/create
POST	/group/join	POST	/groups/join
POST	/group/joinapprovalmode	PUT	/groups/{group_jid}/settings/join-approval
POST	/group/leave	POST	/groups/leave
POST	/group/list	POST	/groups/list
POST	/group/photo	PUT	/groups/{group_jid}/photo
POST	/group/photo/remove	DELETE	/groups/{group_jid}/photo
POST	/group/updateparticipants	POST	/groups/{group_jid}/participants
POST	/group/updaterequestparticipants	POST	/groups/{group_jid}/join-requests
POST	/message/star	POST	/messages/star
POST	/newsletter/admin-invite	POST	/newsletters/admin-invite
POST	/newsletter/admin-invite/accept	POST	/newsletters/admin-invite/accept
POST	/newsletter/admin-invite/revoke	POST	/newsletters/admin-invite/revoke
POST	/newsletter/change-owner	POST	/newsletters/change-owner
POST	/newsletter/create	POST	/newsletters/create
POST	/newsletter/demote	POST	/newsletters/demote
POST	/newsletter/follow	POST	/newsletters/follow
POST	/newsletter/info	POST	/newsletters/info
POST	/newsletter/info-invite	POST	/newsletters/info-invite
POST	/newsletter/mark-viewed	POST	/newsletters/mark-viewed
POST	/newsletter/messages	POST	/newsletters/messages
POST	/newsletter/mute	POST	/newsletters/mute
POST	/newsletter/react	POST	/newsletters/react
POST	/newsletter/subscribe	POST	/newsletters/subscribe
POST	/newsletter/unfollow	POST	/newsletters/unfollow
POST	/newsletter/updates	POST	/newsletters/updates
POST	/user/avatar	POST	/users/avatar
POST	/user/block	POST	/users/block
POST	/user/check	POST	/users/check
POST	/user/contacts/sync	POST	/users/contacts/sync
POST	/user/history/sync	POST	/users/history/sync
POST	/user/info	POST	/users/info
POST	/user/presence	POST	/users/presence
POST	/user/presence/subscribe	POST	/users/presence/subscribe
POST	/user/privacy	POST	/users/privacy
POST	/user/status	POST	/users/status
POST	/user/unblock	POST	/users/unblock
POST	/session/pairphone	POST	/session/pair/phone
GET	/session/qr	GET	/session/pair/qr
